"Lugar, día, rango horario:",14/07/2015 16:45 a 18:00   -   Paradas del 10 /17 / 22,,,,,,,,
Línea,22,17,10,22,22,17,17,17,17
Hora,16:50,16:51,16:53,16:53,16:54,17:00,17:02,17:03,17:04
Tiempo Detenido (segundos),25,20,10,15,15,20,30,30,30
Suben,3,0,0,2,0,4,4,2,0
Bajan,6,5,1,2,2,4,6,2,5
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",x,x,x,x,x,x,x,x,x
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),5,2,2,3,1,6,5,6,4
,,,,,,,,,
Línea,10,17,22,10,17,17,17,22,17
Hora,17:10,17:11,17:12,17:20,17:21,17:30,17:35,17:40,17:45
Tiempo Detenido (segundos),20,35,20,20,45,45,25,50,45
Suben,0,8,0,0,10,6,0,11,5
Bajan,3,3,1,3,1,6,4,3,0
Vacio,,,,,,,,,
"No vacío, asientos libres",x,,,x,,,,,
"No completo, sin asientos",,x,x,,x,x,x,x,x
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),16,17,19,23,26,22,20,21,15
,,,,,,,,,
Línea,10,17,22,,,,,,
Hora,17:50,17:56,17:58,,,,,,
Tiempo Detenido (segundos),25,35,30,,,,,,
Suben,0,6,2,,,,,,
Bajan,6,2,6,,,,,,
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",x,x,x,,,,,,
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),10,6,5,,,,,,
