"Lugar, día, rango horario:",16/06/2015 16:45 a 18:00   -   Paradas del 95/100/134/446,,,,,,,,
Línea,295,95,446,100,295,134,295,100,100
Hora,16:45,16:50,16:51,16:52,16:53,16:54,16:56,16:58,16:59
Tiempo Detenido (segundos),60,30,40,50,20,60,25,25,20
Suben,15,5,15,10,5,7,4,7,5
Bajan,2,11,0,5,0,25,0,5,0
Vacio,,,,,,,,,
"No vacío, asientos libres",x,x,x,x,x,x,x,x,x
"No completo, sin asientos",,,,,,,,,
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),32,25,25,25,4,14,12,20,30
,,,,,,,,,
Línea,100,134,134,446,100,95,100,95,100
Hora,17:01,17:07,17:10,17:15,17:20,17:24,17:23,17:24,17:25
Tiempo Detenido (segundos),20,60,30,300,60,120,60,110,100
Suben,4,25,10,50,18,19,20,10,20
Bajan,2,0,10,0,5,5,4,30,10
Vacio,x,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",,x,x,x,x,x,x,x,x
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),30,más de 50,más de 60,más de 60,más de 60,más de 60,más de 60,más de 60,más de 50
,,,,,,,,,
Línea,295,95,100,446,295,95,134,134,295
Hora,17:26,17:27,17:29,17:30,17:31,17:32,17:33,17:34,17:35
Tiempo Detenido (segundos),140,40,60,40,40,40,40,40,
Suben,40,10,10,10,15,10,10,15,20
Bajan,5,3,0,2,0,7,3,2,2
Vacio,,,,,,,,,
"No vacío, asientos libres",,,x,x,x,x,,x,x
"No completo, sin asientos",x,x,,,,,,,
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),más de 60,más de 60,más de 40,más de 40,más de 30,más de 30,25,24,7
,,,,,,,,,
Línea,95,446,134,95,100,134,134,100,95
Hora,17:35,17:36,17:36,17:38,17:40,17:41,17:41,17:42,17:44
Tiempo Detenido (segundos),30,30,20,20,30,30,20,60,60
Suben,0,7,2,8,0,12,0,10,6
Bajan,7,2,0,6,5,4,5,3,15
Vacio,,,,,,,,,
"No vacío, asientos libres",x,x,x,x,x,x,x,x,x
"No completo, sin asientos",,,,,,,,,
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),13,10,15,20,20,20,20,20,20
,,,,,,,,,
Línea,295,295,446,100,95,95,95,100,95
Hora,17:45,17:45,17:49,17:53,17:54,17:54,17:56,17:58,17:59
Tiempo Detenido (segundos),60,30,30,30,30,30,30,,
Suben,20,5,8,10,5,5,2,12,13
Bajan,2,0,0,10,2,9,12,4,3
Vacio,,,,,,,,,
"No vacío, asientos libres",x,x,x,x,x,x,x,x,x
"No completo, sin asientos",,,,,,,,,
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),12,10,14,12,10,15,15,25,10
,,,,,,,,,
Línea,,,,,,,,,
Hora,,,,,,,,,
Tiempo Detenido (segundos),,,,,,,,,
Suben,,,,,,,,,
Bajan,,,,,,,,,
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",,,,,,,,,
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),,,,,,,,,
